"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"1-create-role-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.018","1","EXECUTED","9:f045cd9f55fdc27cfbc46be0d73dac1b","sql","","","4.33.0","()","","9701407948"
"2-seed-default-roles","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.033","2","EXECUTED","9:ee9e37be205cec114b2fe028420f8514","sql","","","4.33.0","()","","9701407948"
"3-create-user-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.043","3","EXECUTED","9:d4b4362739fe32a38a4b539b87b13ec8","sql","","","4.33.0","()","","9701407948"
"4-create-page-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.054","4","EXECUTED","9:9ed79f0dffee6b83efc75a4735978313","sql","","","4.33.0","()","","9701407948"
"5-seed-admin-user","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.063","5","EXECUTED","9:4bf1913202a7b0abc58add9ae906a029","sql","","","4.33.0","()","","9701407948"
"6-create-loginattempt-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.075","6","EXECUTED","9:a036a58af533cc2379e444a209116670","sql","","","4.33.0","()","","9701407948"
"7-update-admin-password","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.084","7","EXECUTED","9:a0b5230d2f70c751c6c1858588e4552a","sql","","","4.33.0","()","","9701407948"
"8-seed-sample-page","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.091","8","EXECUTED","9:dd974c6a13fda48796ac96e086b52126","sql","","","4.33.0","()","","9701407948"
"9-create-gallerycategory-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.1","9","EXECUTED","9:4f27aa0354b57c8a76d69cc6f9fb3841","sql","","","4.33.0","()","","9701407948"
"10-create-galleryphoto-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.109","10","EXECUTED","9:fbcba523a6b626d8899fe746a499ead6","sql","","","4.33.0","()","","9701407948"
"11-create-newsalert-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.116","11","EXECUTED","9:9ec5f934bf3e86d76b0d563146a55146","sql","","","4.33.0","()","","9701407948"
"12-seed-newsalert-content","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.126","12","EXECUTED","9:f49c2ffc7ddbd0f7a595d77796ff15e2","sql","","","4.33.0","()","","9701407948"
"13-update-newsalert-content","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.134","13","EXECUTED","9:62568462af58e4a3e84fbd7838c6ae87","sql","","","4.33.0","()","","9701407948"
"14-create-pagehit-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.145","14","EXECUTED","9:b5e831db55ec4d93aa184f7139be0c63","sql","","","4.33.0","()","","9701407948"
"15-create-passwordreset-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.154","15","EXECUTED","9:a93cf9330766115e0971b1d7e2cd70d5","sql","","","4.33.0","()","","9701407948"
"16-create-passwordresetattempt-table","dave","migrations/changelog-master.sql","2026-09-17T23:16:50.165","16","EXECUTED","9:6ba663063a6af5399f6ceb1980a08312","sql",,"","4.33.0","()","","9701407948"
